n time
1 6.66666666667e-07
2 2e-05
3 3.93333333333e-05
4 6.56666666667e-05
5 0.000107333333333
6 0.0166403333333
7 0.000391333333333
8 0.001473
9 0.00342733333333
10 0.003647
11 0.00926566666667
12 0.01024
13 0.0249963333333
14 0.0188566666667
15 0.022192
16 0.038427
17 0.0508273333333
18 0.056665
19 0.078861
20 0.100586
21 0.138016666667
22 0.181231666667
23 0.234421
24 0.300907666667
25 0.334535
26 0.397009333333
27 0.450546
28 0.574007
29 0.63755
