#n = 8 	p = 8 	reps = 3
elements time
16 0.00307733333333
16016 0.00600033333333
32016 0.0121723333333
48016 0.0181096666667
64016 0.061032
80016 0.0835943333333
96016 0.0356423333333
112016 0.0415993333333
128016 0.0533853333333
144016 0.231171333333
160016 0.120946
176016 0.0658093333333
192016 0.189746666667
208016 0.913212
224016 0.444213333333
240016 0.432343333333
256016 0.095456
272016 0.811011333333
288016 0.176696666667
304016 0.766671333333
320016 0.119682
336016 0.127429
352016 0.136505
368016 0.221759
384016 0.143409666667
400016 0.152996666667
416016 0.155717
432016 0.603529666667
448016 0.243591
464016 0.18016
480016 0.216390666667
496016 0.272309333333
512016 0.290259
528016 0.196767
544016 0.205641
560016 1.35250333333
576016 0.215158666667
592016 0.561199333333
608016 0.266285666667
624016 0.317287666667
640016 0.240793333333
656016 1.08346233333
672016 0.287546666667
688016 0.304433
704016 1.03083166667
720016 0.618233333333
736016 1.18673766667
752016 0.296701666667
768016 0.292998
784016 0.934646333333
800016 0.632851333333
816016 0.799986333333
832016 0.311827666667
848016 0.858651666667
864016 0.510086333333
880016 1.76317633333
896016 0.336290333333
912016 1.38259766667
928016 0.373611333333
944016 0.474022666667
960016 0.768908
976016 0.619348666667
992016 0.388630333333
1008016 0.431451
1024016 0.795693666667
1040016 0.405277
1056016 1.02761966667
1072016 0.410795
1088016 0.450212666667
1104016 0.432855666667
1120016 0.433733
1136016 0.727758333333
1152016 0.494710666667
1168016 1.33995933333
1184016 0.464379333333
1200016 1.91646
1216016 0.526285
1232016 1.477775
1248016 1.255945
1264016 0.551791333333
1280016 1.53310866667
1296016 1.15041666667
1312016 0.495956666667
1328016 1.231406
1344016 1.34314833333
1360016 0.593246333333
1376016 1.07310666667
1392016 1.419593
1408016 0.550343
1424016 0.576860333333
1440016 0.760766666667
1456016 1.09090833333
1472016 1.089224
1488016 1.088993
1504016 1.15000866667
1520016 1.04246
1536016 1.051276
1552016 1.10204
1568016 1.07982166667
1584016 0.937985666667
