#n = k = p	reps = 3
mp time
1 9.19666666667e-07
2 1.26376666667e-05
3 5.6114e-05
4 0.000222912666667
5 0.000540291
6 0.000753692333333
7 0.002048887
8 0.00225750666667
9 0.00416469333333
10 0.00489372
11 0.00649702
12 0.01046048
13 0.00805700666667
14 0.0119868333333
15 0.0205666333333
16 0.0168844666667
17 0.0229180333333
18 0.0275972666667
19 0.0362108666667
20 0.0474099333333
21 0.0510505333333
